cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
6,667,12,depth_gradient_bid_spot_struct100_300s_btc,depth_gradient_bid_spot_struct100_300s,Bookshape,B2_bookshape,-1.0581,102.456696,128.696228
6,667,13,liq_concentration_bid_spot_struct100_300s_btc,liq_concentration_bid_spot_struct100_300s,Bookshape,B2_bookshape,1.0576,197.309387,170.307007
6,667,14,depth_gradient_bid_spot_struct100_60s_btc,depth_gradient_bid_spot_struct100_60s,Bookshape,B2_bookshape,-1.0243,19.706778,25.431257
6,667,15,liq_concentration_bid_spot_struct100_60s_btc,liq_concentration_bid_spot_struct100_60s,Bookshape,B2_bookshape,1.0223,40.210743,34.450577
6,667,16,depth_notional_ask_struct100_fut_300s_eth,depth_notional_ask_struct100_fut_300s,Bookshape,B2_bookshape,1.0159,54944148.0,43876064.0
6,667,17,liq_sum_fut_900s_eth,liq_sum_fut_900s,Bookshape,B2_bookshape,1.0089,15.541576,15.155107
6,667,18,liq_sum_fut_300s_eth,liq_sum_fut_300s,Bookshape,B2_bookshape,0.9794,15.490062,15.124148
6,667,19,depth_notional_bid_struct50_fut_300s_btc,depth_notional_bid_struct50_fut_300s,Bookshape,B2_bookshape,0.9777,16.387516,16.059322
6,667,20,queue_pressure_persist_fut_1bps_900s_btc,queue_pressure_persist_fut_1bps_900s,Dynamics,B5_dynamics,0.9584,0.527299,0.332607
6,667,21,liq_sum_spot_900s_btc,liq_sum_spot_900s,Bookshape,B2_bookshape,0.9532,6408705.0,4608001.0
6,667,22,depth_notional_bid_struct50_fut_900s_btc,depth_notional_bid_struct50_fut_900s,Bookshape,B2_bookshape,0.9532,12523095.0,9555830.0
