asset,hz,thr_bps,pca_dim,k,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm,bh_q,above_null_p95,above_null_p99
btc,15s,10,50,8,1.038,0.2977,1.027,1.089,1.129,1000,0.4381245283018868,False,False
btc,15s,15,50,8,1.431,0.009,1.1,1.304,1.425,1000,0.0460327868852459,True,True
btc,15s,20,50,8,2.859,0.002,1.126,1.595,2.026,1000,0.01521951219512195,True,True
btc,15s,30,50,8,3.086,0.006,1.481,2.319,2.776,1000,0.03532075471698114,True,True
btc,30s,10,50,8,1.079,0.026,1.019,1.063,1.087,1000,0.10529999999999999,True,False
btc,30s,15,50,8,1.12,0.1479,1.09,1.167,1.223,1000,0.30160000000000003,False,False
btc,30s,20,50,8,3.06,0.001,1.136,1.423,1.609,1000,0.008432432432432432,True,True
btc,30s,30,50,8,3.838,0.001,1.329,1.834,2.231,1000,0.008432432432432432,True,True
btc,30s,40,50,8,17.249,0.001,1.552,2.346,2.908,1000,0.008432432432432432,True,True
btc,5s,10,50,8,1.12,0.4695,1.113,1.365,1.559,1000,0.5882891566265059,False,False
btc,5s,15,50,8,1.471,0.0859,1.218,1.566,1.844,1000,0.2054577777777778,False,False
eth,15s,10,50,8,0.996,0.6064,1.007,1.21,1.295,1000,0.6879883636363637,False,False
eth,15s,15,50,8,1.24,0.1948,1.046,1.55,1.891,1000,0.34726956521739133,False,False
eth,15s,20,50,8,1.246,0.008,1.031,1.132,1.212,1000,0.043789473684210524,True,True
eth,15s,30,50,8,1.01,0.998,1.125,1.732,2.171,1000,0.9979999999999999,False,False
eth,15s,40,50,8,2.833,0.003,1.25,1.734,2.217,1000,0.019914893617021277,True,True
eth,1s,10,50,8,1.008,0.4156,0.982,1.432,1.744,1000,0.5517753191489362,False,False
eth,30s,10,50,8,1.539,0.001,1.038,1.188,1.264,1000,0.008432432432432432,True,True
eth,30s,15,50,8,1.91,0.001,1.08,1.299,1.433,1000,0.008432432432432432,True,True
eth,30s,20,50,8,1.373,0.0739,1.083,1.434,1.663,1000,0.18594193548387097,False,False
eth,30s,30,50,8,1.179,0.0779,1.089,1.195,1.28,1000,0.1944384,False,False
eth,30s,40,50,8,1.352,0.1878,1.222,1.615,1.952,1000,0.34726956521739133,False,False
eth,5s,10,50,8,1.383,0.1768,1.086,1.813,2.422,1000,0.3384147239263804,False,False
eth,5s,15,50,8,1.225,0.0689,1.086,1.257,1.402,1000,0.18531724137931035,False,False
eth,5s,20,50,8,1.173,0.5295,1.182,1.591,1.866,1000,0.6365999999999999,False,False
btc,15s,10,600,10,1.054,0.2667,1.036,1.101,1.152,1000,0.4119326732673267,False,False
btc,15s,15,600,10,1.146,0.2368,1.103,1.252,1.342,1000,0.38687999999999995,False,False
btc,15s,20,600,10,1.074,0.8342,1.171,1.653,2.036,1000,0.8792918918918918,False,False
btc,15s,30,600,10,1.492,0.4955,1.489,2.208,2.759,1000,0.6062588235294117,False,False
btc,1s,10,600,6,0.958,0.5285,0.967,1.239,1.36,1000,0.6365999999999999,False,False
btc,30s,10,600,10,1.003,0.6104,1.006,1.05,1.075,1000,0.6900173913043479,False,False
btc,30s,15,600,10,1.025,0.5445,1.027,1.098,1.166,1000,0.6446818181818181,False,False
btc,30s,20,600,10,1.252,0.012,1.042,1.17,1.253,1000,0.057600000000000005,True,False
btc,30s,30,600,10,8.479,0.001,1.243,1.848,2.305,1000,0.008432432432432432,True,True
btc,30s,40,600,10,1.619,0.0809,1.181,1.716,2.085,1000,0.19719375,False,False
btc,5s,10,600,10,1.111,0.3586,1.089,1.285,1.472,1000,0.49402270742358073,False,False
btc,5s,15,600,10,1.192,0.3407,1.15,1.352,1.506,1000,0.48317454545454547,False,False
btc,5s,20,600,6,1.515,0.0799,1.2,1.615,1.917,1000,0.19628976377952756,False,False
eth,15s,10,600,10,1.004,0.5804,1.011,1.21,1.295,1000,0.675689552238806,False,False
