asset,hz,thr_bps,pca_dim,k,n_clusters,n_reversal,n_continuation,best_mfe_mae_ratio,best_ratio_mfe_lift,best_ratio_n,mean_mfe_mae_ratio,perm_p,is_final_retained
eth,5s,20,50,10,8,7,1,1.27,1.155,411,0.9049,0.3596,False
eth,5s,20,150,6,6,4,2,1.398,1.705,286,0.8625,0.2907,False
eth,5s,20,150,8,6,5,1,1.161,1.522,305,0.9545,0.3766,False
eth,5s,20,150,10,9,9,0,1.951,0.391,37,1.1196,0.022,False
eth,5s,20,300,6,4,3,1,1.415,1.695,306,0.9113,0.019,False
eth,5s,20,300,8,6,4,2,1.133,1.112,444,0.8858,0.5604,False
eth,5s,20,300,10,9,7,2,1.429,0.491,118,0.9281,0.1538,False
eth,5s,20,600,6,5,4,1,0.78,0.43,785,0.6824,0.8462,False
eth,5s,20,600,8,6,5,1,1.62,0.519,281,1.1035,0.001,False
eth,5s,20,600,10,7,6,1,1.226,1.526,256,0.921,0.2028,False
