feature_name,family,concept,n_redundant_pairs,max_corr_with,max_corr
pull_rate_fut_1bps_5s,pull_rate_variants,pull_rate_1bps,4,pull_rate_fut_2bps_5s,0.994005
pull_rate_spot_10bps_60s,pull_vs_refill,pull_rate_10bps,4,pull_rate_spot_5bps_60s,0.999986
pull_rate_spot_1bps_5s,pull_rate_variants,pull_rate_1bps,4,pull_rate_spot_2bps_5s,0.994462
basis_300s,basis_features,basis,3,basis_vwap_sf_300s,0.99885
basis_60s,basis_features,basis,3,basis_sf_mid_60s,1.0
d1_pull_rate_fut_10bps_5s,pull_rate_variants,d1_pull_rate_10bps,3,d1_pull_rate_fut_5bps_5s,0.999778
d1_pull_rate_spot_10bps_5s,pull_rate_variants,d1_pull_rate_10bps,3,d1_pull_rate_spot_5bps_5s,0.999926
d2_pull_rate_fut_10bps_5s,pull_rate_variants,d2_pull_rate_10bps,3,d2_pull_rate_fut_5bps_5s,0.999793
d2_pull_rate_spot_10bps_5s,pull_rate_variants,d2_pull_rate_10bps,3,d2_pull_rate_spot_5bps_5s,0.999932
mad_pull_rate_fut_10bps_5s,pull_rate_variants,mad_pull_rate_10bps,3,mad_pull_rate_fut_5bps_5s,0.9999
mad_pull_rate_spot_10bps_5s,pull_rate_variants,mad_pull_rate_10bps,3,mad_pull_rate_spot_5bps_5s,1.0
median_pull_rate_fut_10bps_5s,pull_rate_variants,median_pull_rate_10bps,3,median_pull_rate_fut_5bps_5s,0.99981
median_pull_rate_spot_10bps_5s,pull_rate_variants,median_pull_rate_10bps,3,median_pull_rate_spot_5bps_5s,0.999937
net_pressure_flip_rate_spot_10bps_300s,net_pressure_variants,net_pressure_flip_rate_10bps,3,net_pressure_persist_spot_10bps_300s,1.0
refill_rate_fut_1bps_60s,pull_vs_refill,refill_rate_1bps,3,refill_rate_fut_2bps_60s,0.976552
refill_rate_spot_1bps_60s,refill_rate_variants,refill_rate_1bps,3,refill_rate_spot_2bps_60s,0.979722
taker_imbalance_fut_300s,taker_imbalance_variants,taker_imbalance,3,median_taker_imbalance_fut_5s,0.986991
taker_imbalance_spot_300s,taker_imbalance_variants,taker_imbalance,3,median_taker_imbalance_spot_15s,0.984641
d1_pull_rate_fut_1bps_5s,pull_rate_variants,d1_pull_rate_1bps,2,d1_pull_rate_fut_2bps_5s,0.992323
d1_pull_rate_spot_1bps_5s,pull_rate_variants,d1_pull_rate_1bps,2,d1_pull_rate_spot_2bps_5s,0.992954
d2_pull_rate_fut_1bps_5s,pull_rate_variants,d2_pull_rate_1bps,2,d2_pull_rate_fut_2bps_5s,0.992705
d2_pull_rate_spot_1bps_5s,pull_rate_variants,d2_pull_rate_1bps,2,d2_pull_rate_spot_2bps_5s,0.993488
liq_imb_persist_sf_struct100_300s,book_shape_imbalance,liq_imb_persist_sf_struct100,2,liq_imb_persist_sf_struct50_900s,0.999925
mad_pull_rate_fut_10bps_60s,pull_rate_variants,mad_pull_rate_10bps,2,mad_pull_rate_fut_5bps_60s,0.999958
mad_pull_rate_fut_1bps_5s,pull_rate_variants,mad_pull_rate_1bps,2,mad_pull_rate_fut_2bps_5s,0.997554
mad_pull_rate_spot_10bps_60s,pull_rate_variants,mad_pull_rate_10bps,2,mad_pull_rate_spot_5bps_60s,0.999994
mad_pull_rate_spot_1bps_5s,pull_rate_variants,mad_pull_rate_1bps,2,mad_pull_rate_spot_2bps_5s,0.998218
median_pull_rate_fut_10bps_60s,pull_rate_variants,median_pull_rate_10bps,2,median_pull_rate_fut_5bps_60s,0.99996
median_pull_rate_fut_1bps_5s,pull_rate_variants,median_pull_rate_1bps,2,median_pull_rate_fut_2bps_5s,0.993473
median_pull_rate_spot_10bps_60s,pull_rate_variants,median_pull_rate_10bps,2,median_pull_rate_spot_5bps_60s,0.999988
median_pull_rate_spot_1bps_5s,pull_rate_variants,median_pull_rate_1bps,2,median_pull_rate_spot_2bps_5s,0.993873
median_queue_pressure_fut_10bps_5s,queue_pressure_variants,median_queue_pressure_10bps,2,queue_pressure_fut_10bps_5s,0.978143
median_queue_pressure_spot_10bps_5s,queue_pressure_variants,median_queue_pressure_10bps,2,queue_pressure_spot_10bps_5s,0.962593
net_add_fut_10bps_15s,net_pressure_variants,net_add_10bps,2,net_pressure_fut_10bps_15s,1.0
net_add_fut_10bps_60s,net_pressure_variants,net_add_10bps,2,net_add_pressure_fut_10bps_60s,1.0
net_add_fut_2bps_15s,net_pressure_variants,net_add_2bps,2,net_pressure_fut_2bps_15s,1.0
net_add_fut_2bps_60s,net_pressure_variants,net_add_2bps,2,net_pressure_fut_2bps_60s,1.0
net_add_fut_5bps_15s,net_pressure_variants,net_add_5bps,2,net_add_pressure_fut_5bps_15s,1.0
net_add_fut_5bps_60s,net_pressure_variants,net_add_5bps,2,net_add_pressure_fut_5bps_60s,1.0
net_add_pressure_spot_10bps_15s,net_pressure_variants,net_add_pressure_10bps,2,net_add_spot_10bps_15s,1.0
net_add_pressure_spot_10bps_60s,net_pressure_variants,net_add_pressure_10bps,2,net_add_spot_10bps_60s,1.0
