column,vif,bare_name,base_concept,group,asset,stage,window_s,market_scope
liq_cluster_asymmetry_fut_struct100_300s_btc,25.4933,liq_cluster_asymmetry_fut_struct100_300s,liq_cluster_asymmetry_struct100,Bookshape,btc,S1,300.0,Futures
ca_activity_avg_trade_size_spot_900s_spread_btceth,25.3183,ca_activity_avg_trade_size_spot_900s_spread,ca_activity_avg_trade_size_spread,Cross-Asset,btceth,S6,,Cross-Asset
z_refill_rate_spot_10bps_15s_btc,25.3009,z_refill_rate_spot_10bps_15s,z_refill_rate_10bps,Normalization,btc,S2,15.0,Spot
ca_microprice_dev_fut_5bps_spread_1s_btceth,25.2971,ca_microprice_dev_fut_5bps_spread_1s,ca_microprice_dev_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
vacuum_score_shock_fut_5bps_60s_btc,25.141,vacuum_score_shock_fut_5bps_60s,vacuum_score_shock_5bps,Dynamics,btc,S4,,Futures
absorption_break_spot_60s_btc,25.0967,absorption_break_spot_60s,absorption_break,Absorption,btc,S3,,Spot
taker_imbalance_shock_spot_60s_btc,25.0542,taker_imbalance_shock_spot_60s,taker_imbalance_shock,Dynamics,btc,S3,,Spot
ca_pull_rate_shock_spot_5bps_spread_60s_btceth,24.8073,ca_pull_rate_shock_spot_5bps_spread_60s,ca_pull_rate_shock_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
liq_cluster_asymmetry_fut_struct50_300s_btc,24.7529,liq_cluster_asymmetry_fut_struct50_300s,liq_cluster_asymmetry_struct50,Bookshape,btc,S1,300.0,Futures
mad_net_pressure_fut_5bps_5s_btc,24.3686,mad_net_pressure_fut_5bps_5s,mad_net_pressure_5bps,Dynamics,btc,S4,5.0,Futures
vacuum_score_shock_spot_5bps_15s_btc,24.3277,vacuum_score_shock_spot_5bps_15s,vacuum_score_shock_5bps,Dynamics,btc,S4,,Spot
z_pull_rate_spot_10bps_5s_btc,24.3276,z_pull_rate_spot_10bps_5s,z_pull_rate_10bps,Normalization,btc,S2,5.0,Spot
absorb_refill_ask_spot_10bps_1s_btc,24.2869,absorb_refill_ask_spot_10bps_1s,absorb_refill_ask_10bps,Absorption,btc,S2,1.0,Spot
mad_queue_pressure_spot_2bps_60s_btc,24.2652,mad_queue_pressure_spot_2bps_60s,mad_queue_pressure_2bps,Dynamics,btc,S2,60.0,Spot
mad_absorption_break_fut_15s_btc,23.7228,mad_absorption_break_fut_15s,mad_absorption_break,Dynamics,btc,S5,15.0,Futures
flow_depth_align_spot_struct50_1s_btc,23.7073,flow_depth_align_spot_struct50_1s,flow_depth_align_struct50,Dynamics,btc,S2,,Spot
ca_net_pressure_shock_fut_5bps_spread_60s_btceth,23.6549,ca_net_pressure_shock_fut_5bps_spread_60s,ca_net_pressure_shock_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
mad_vacuum_score_spot_5bps_60s_btc,23.5708,mad_vacuum_score_spot_5bps_60s,mad_vacuum_score_5bps,Dynamics,btc,S4,60.0,Spot
z_depth_gradient_fut_struct50_900s_btc,23.5264,z_depth_gradient_fut_struct50_900s,z_depth_gradient_struct50,Normalization,btc,S4,900.0,Futures
median_net_pressure_spot_10bps_5s_btc,23.3297,median_net_pressure_spot_10bps_5s,median_net_pressure_10bps,Dynamics,btc,S4,5.0,Spot
mad_net_pressure_fut_10bps_15s_btc,23.1353,mad_net_pressure_fut_10bps_15s,mad_net_pressure_10bps,Dynamics,btc,S4,15.0,Futures
net_add_fut_5bps_900s_btc,22.8134,net_add_fut_5bps_900s,net_add_5bps,Pressure,btc,S3,900.0,Futures
mad_net_pressure_spot_10bps_60s_btc,22.622,mad_net_pressure_spot_10bps_60s,mad_net_pressure_10bps,Dynamics,btc,S4,60.0,Spot
mad_net_pressure_spot_2bps_5s_btc,22.5463,mad_net_pressure_spot_2bps_5s,mad_net_pressure_2bps,Dynamics,btc,S4,5.0,Spot
net_cancel_persist_fut_10bps_15s_btc,22.4553,net_cancel_persist_fut_10bps_15s,net_cancel_persist_10bps,Dynamics,btc,S5,15.0,Futures
d2_refill_rate_fut_2bps_15s_btc,22.3648,d2_refill_rate_fut_2bps_15s,d2_refill_rate_2bps,Dynamics,btc,S3,,Futures
depth_notional_bid_1bps_fut_1s_btc,22.3349,depth_notional_bid_1bps_fut_1s,depth_notional_bid_1bps,Bookshape,btc,S0,,Futures
d1_net_pressure_fut_10bps_15s_btc,22.3011,d1_net_pressure_fut_10bps_15s,d1_net_pressure_10bps,Dynamics,btc,S4,,Futures
refill_rate_shock_spot_10bps_15s_btc,22.2534,refill_rate_shock_spot_10bps_15s,refill_rate_shock_10bps,Dynamics,btc,S2,15.0,Spot
net_cancel_robust_z_spot_10bps_60s_btc,22.1849,net_cancel_robust_z_spot_10bps_60s,net_cancel_robust_z_10bps,Pressure,btc,S5,60.0,Spot
ca_pull_rate_shock_spot_10bps_spread_15s_btceth,22.1821,ca_pull_rate_shock_spot_10bps_spread_15s,ca_pull_rate_shock_10bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
net_pressure_robust_z_fut_5bps_300s_btc,22.0994,net_pressure_robust_z_fut_5bps_300s,net_pressure_robust_z_5bps,Pressure,btc,S4,300.0,Futures
mad_taker_imbalance_fut_60s_btc,22.0049,mad_taker_imbalance_fut_60s,mad_taker_imbalance,Dynamics,btc,S3,,Futures
participation_rate_spot_1s_btc,21.9822,participation_rate_spot_1s,participation_rate,Activity,btc,S1,,Spot
z_refill_rate_fut_10bps_15s_btc,21.6692,z_refill_rate_fut_10bps_15s,z_refill_rate_10bps,Normalization,btc,S2,15.0,Futures
